iter	RMSE
202	0.1731375793
203	0.1727179034
204	0.1723989068
205	0.1722498065
206	0.1718711479
207	0.1717785646
208	0.1716396938
209	0.1712472252
210	0.1711556031
211	0.1710403541
212	0.1708297994
213	0.1706473732
214	0.1702577806
215	0.1699081483
216	0.1696281008
217	0.1694714725
218	0.1692663377
219	0.1687416644
220	0.1683987937
221	0.1681708337
222	0.167853487
223	0.1677652182
224	0.167496429
225	0.1673474737
226	0.1670210607
227	0.166848921
228	0.1667675465
229	0.1664933445
230	0.1663129148
231	0.1659936482
232	0.165856231
233	0.1654512926
234	0.1650972436
235	0.1649590464
236	0.1646150233
237	0.1645574988
238	0.1643015155
239	0.1638888894
240	0.1635856855
241	0.1633618697
242	0.1629586172
243	0.1628737109
244	0.1625391935
245	0.1622604699
246	0.1620633009
247	0.1618627421
248	0.1615910283
249	0.1613924683
250	0.1611141889
251	0.1608255767
252	0.1606407245
253	0.1604310278
254	0.1601398123
255	0.1599744896
256	0.1598422693
257	0.1597358222
258	0.1594653339
259	0.1591736183
260	0.1589889611
261	0.1587415873
262	0.1585576391
263	0.1584561879
264	0.1583910024
265	0.158248086
266	0.1581079807
267	0.1577305793
268	0.1576368062
269	0.1574987002
270	0.1574566691
271	0.1573587935
272	0.1571107553
273	0.1569927573
274	0.1569828431
275	0.1569663965
276	0.1568909666
277	0.1565873479
278	0.156507374
279	0.1564179592
280	0.1563069561
281	0.1562558274
282	0.1561351658
283	0.1558601643
284	0.1556691165
285	0.1554333356
286	0.1552263306
287	0.1549405997
288	0.1547759854
289	0.1545591878
290	0.1544987292
291	0.1543637593
292	0.1539645882
293	0.1536494408
294	0.1533713011
295	0.153312276
296	0.1529437468
297	0.1525349078
298	0.1524541666
299	0.1521563885
300	0.1521180904
301	0.1520297467
302	0.151831622
303	0.1515655711
304	0.1513847058
305	0.1511466839
306	0.1510684867
307	0.1510506177
308	0.1508708805
309	0.1505846365
310	0.1504231162
311	0.1502110941
312	0.1499947749
313	0.1498316878
314	0.1497003577
315	0.1494697155
316	0.1492768749
317	0.1491170717
318	0.1490365268
319	0.1487466565
320	0.1487061475
321	0.1486090378
322	0.1483522474
323	0.1481437104
324	0.1480955041
325	0.1480019029
326	0.147747764
327	0.1475414214
328	0.1473504316
329	0.1472226257
330	0.1470191588
331	0.1468708975
332	0.1467362141
333	0.1465775694
334	0.1463430626
335	0.1461869891
336	0.1461553528
337	0.1459698244
338	0.1458480262
339	0.145542839
340	0.145424743
341	0.1452414339
342	0.1450413066
343	0.1449317545
344	0.1447378718
345	0.1445246798
346	0.1443999267
347	0.1442212543
348	0.144056825
349	0.1439325692
350	0.14381029
351	0.1436520299
352	0.1434250416
353	0.1433059607
354	0.1431500411
355	0.1430582043
356	0.1429511793
357	0.1428740146
358	0.14268164
359	0.1425585599
360	0.1425145629
361	0.1423227013
362	0.1420086253
363	0.1418422853
364	0.1414963486
365	0.141214989
366	0.1410912378
367	0.1409045428
368	0.1407829162
369	0.14058385
370	0.1404945558
371	0.1403878902
372	0.1403402702
373	0.1402020995
374	0.1400989532
375	0.1399681657
376	0.1398095046
377	0.1395684761
378	0.1393148862
379	0.1391028782
380	0.1389063345
381	0.1386891066
382	0.1384567729
383	0.1383443345
384	0.1381650141
385	0.1378544794
386	0.1377460864
387	0.1375844621
388	0.1375528762
389	0.1374677849
390	0.1373699863
391	0.1373437653
392	0.1370628582
393	0.1369374595
394	0.1367959784
395	0.1365485364
396	0.1363709249
397	0.1362558984
398	0.1361865807
399	0.135957834
400	0.1358263048
401	0.135594305
402	0.1354870395
403	0.1352938446
404	0.1351796955
405	0.1350870667
406	0.1348756493
407	0.13464836
408	0.1344656935
409	0.1344000876
410	0.1342447442
411	0.1341364969
412	0.1340138806
413	0.1339557595
414	0.1337214688
415	0.1335921274
416	0.1335085563
417	0.1334298018
418	0.1332829059
419	0.1331801727
420	0.1329606407
421	0.132936494
422	0.1327425756
423	0.1326408788
424	0.1325405727
425	0.1324464286
426	0.1322904886
427	0.1321371709
428	0.1320321438
429	0.1319193981
430	0.1317244569
431	0.1316073319
432	0.1315103058
433	0.1314426834
434	0.1313625987
435	0.1311177497
436	0.1309823436
437	0.1308746456
438	0.1306862816
439	0.130622064
440	0.1304645637
441	0.1303791503
442	0.1302494824
443	0.1301181349
444	0.1300269815
445	0.1299122449
446	0.1297652865
447	0.129610729
448	0.1294348213
449	0.1293385221
450	0.1292507207
451	0.1290190937
452	0.1288937314
453	0.1286421046
454	0.1285693781
455	0.128470149
456	0.1283555666
457	0.1282892008
458	0.1280920896
459	0.1280440677
460	0.1279807831
461	0.1279582388
462	0.1278323565
463	0.1277993563
464	0.1277828181
465	0.1277539621
466	0.1276674249
467	0.1275348195
468	0.1274349503
469	0.1273233794
470	0.1271473635
471	0.1269843661
472	0.1269588608
473	0.126957851
474	0.1268366897
475	0.1266980563
476	0.1266027042
477	0.1265655249
478	0.1264568322
479	0.1263620126
480	0.1262167635
481	0.126175415
482	0.1259660206
483	0.1258360547
484	0.1257902927
485	0.1256815933
486	0.1256352739
487	0.1255452273
488	0.1255311995
489	0.1254263866
490	0.1253899123
491	0.1252144543
492	0.1250622231
493	0.1249926405
494	0.1248750261
495	0.1247330399
496	0.1246719697
497	0.1245131817
498	0.1243839191
499	0.1243408004
500	0.1242593916
501	0.1241720297
502	0.1240574862
503	0.1239757195
504	0.1238366439
505	0.123732938
506	0.1236850258
507	0.12347371
508	0.1234266653
509	0.1233378027
510	0.1232295934
511	0.1231428597
512	0.1230832384
513	0.1227497804
514	0.1226057246
515	0.1223684731
516	0.1223294199
517	0.1222095888
518	0.1221327139
519	0.1220932225
520	0.1219420822
521	0.1218167301
522	0.1216158143
523	0.1214526497
524	0.1212968116
525	0.1212805013
526	0.1211727911
527	0.1211106875
528	0.1209696657
529	0.1208779189
530	0.1208101726
531	0.1207939808
532	0.1206046585
533	0.1205047743
534	0.1203662592
535	0.1202796835
536	0.1201714883
537	0.1199988565
538	0.1198454095
539	0.1196251336
540	0.1194697644
541	0.1193979478
542	0.1192593705
543	0.1191994491
544	0.1191079731
545	0.1190649364
546	0.1189336007
547	0.1188080191
548	0.1186060295
549	0.118518229
550	0.1183455265
551	0.1181019052
552	0.1180217849
553	0.1178517791
554	0.1177238699
555	0.1176719997
556	0.1175966837
557	0.1174608228
558	0.1173674421
559	0.1173373165
560	0.1172987311
561	0.1172025083
562	0.1170851207
563	0.1169571462
564	0.1168842089
565	0.1168449981
566	0.1166622596
567	0.1165411882
568	0.1164088101
569	0.1163043231
570	0.1161463721
571	0.1160852362
572	0.1160048266
573	0.115774043
574	0.1157116042
575	0.1155885889
576	0.1155219801
577	0.1153244173
578	0.115254947
579	0.115188478
580	0.1150451313
581	0.114922418
582	0.1148702022
583	0.114763224
584	0.1147524348
585	0.1146394029
586	0.1145662008
587	0.1145620744
588	0.1144869001
589	0.1144150586
590	0.1143836487
591	0.114294292
592	0.1142226375
593	0.1141869787
594	0.1141106597
595	0.1140138744
596	0.1138915555
597	0.1137609898
598	0.1137058794
599	0.1136212222
600	0.1135060306
601	0.1133008132
602	0.1131602932
603	0.1131230521
604	0.1128963705
605	0.1128249716
606	0.1127788211
607	0.1126083693
608	0.1125498837
609	0.1125017706
610	0.1123461747
611	0.1122622142
612	0.1121359739
613	0.112056646
614	0.1119470704
615	0.1118735074
616	0.1117618597
617	0.1117005036
618	0.1116269767
619	0.1114292858
620	0.1112921293
621	0.1112560462
622	0.1112105043
623	0.1109630316
624	0.1108565809
625	0.1106860844
626	0.11051346
627	0.1104238981
628	0.1102999084
629	0.1102137104
630	0.1101260231
631	0.1100759279
632	0.1100418124
633	0.1100261527
634	0.109928584
635	0.1098024219
636	0.1096684444
637	0.1096479291
638	0.1095282813
639	0.1094072077
640	0.109305218
641	0.1092577059
642	0.1090599436
643	0.1089517946
644	0.1089232984
645	0.1088392265
646	0.1087825814
647	0.108637246
648	0.1085146101
649	0.1083575394
650	0.1082607977
651	0.1082144111
652	0.108188955
653	0.1081357593
654	0.108030184
655	0.1079216076
656	0.1077764022
657	0.1077131431
658	0.1076538975
659	0.1075586214
660	0.1074701916
661	0.1073633256
662	0.1072904513
663	0.1071757307
664	0.1071432564
665	0.1071056544
666	0.1070396346
667	0.1070209501
668	0.1068855037
669	0.1067940557
670	0.1067738315
671	0.1066567547
672	0.1066398642
673	0.1065192045
674	0.1064703813
675	0.1063606764
676	0.1062283878
677	0.1061170085
678	0.1060460958
679	0.106036609
680	0.1059882145
681	0.1059719407
682	0.105919327
683	0.1059017859
684	0.1057421519
685	0.1055979001
686	0.1055469157
687	0.1055094243
688	0.1054972701
689	0.1054237464
690	0.1054125128
691	0.1052955942
692	0.105224789
693	0.1051971575
694	0.105097912
695	0.1049497988
696	0.1049301988
697	0.1048506436
698	0.10476167
699	0.1045931099
700	0.104467882
701	0.1043935414
702	0.104194929
703	0.1041400071
704	0.1040626119
705	0.1040161335
706	0.1039591367
707	0.1038441966
708	0.1036238128
709	0.1035145705
710	0.1033891074
711	0.1032541441
712	0.1031285881
713	0.1031183231
714	0.1030180394
715	0.1029388669
716	0.1027896803
717	0.1027079089
718	0.1026924373
719	0.1025373092
720	0.102517028
721	0.1023371551
722	0.1022568019
723	0.1022521146
724	0.102149648
725	0.1020479906
726	0.1020117035
727	0.1019531484
728	0.1017575017
729	0.1016810524
730	0.1016185526
731	0.1015157564
732	0.1014289678
733	0.1013050377
734	0.1012311117
735	0.1010892817
736	0.1010210325
737	0.1009472138
738	0.1008935738
739	0.1008169677
740	0.1007023956
741	0.1006298602
742	0.1005717733
743	0.1005296352
744	0.1004648694
745	0.1003273201
746	0.1002339914
747	0.1001742835
748	0.1000609028
749	0.1000394009
750	0.09999821639
751	0.09988117908
752	0.09979851409
753	0.09975000727
754	0.09972394053
755	0.09966612839
756	0.09965358465
757	0.0995591451
758	0.09944680613
759	0.09935288037
760	0.09933360355
761	0.09926404361
762	0.0991570656
763	0.09911979543
764	0.09906680782
765	0.09899049772
766	0.0989525743
767	0.09889660347
768	0.09879178548
769	0.09876697
770	0.09869334901
771	0.09861943379
772	0.09860355885
773	0.0985864264
774	0.09850457883
775	0.09844938827
776	0.09844228341
777	0.0983921859
778	0.09829300017
779	0.09822873453
780	0.09814098413
781	0.09811113895
782	0.09802497665
783	0.09783165042
784	0.09780918594
785	0.09779124518
786	0.09774099044
787	0.09759433863
788	0.09747126884
789	0.09722283836
790	0.09717207613
791	0.097124318
792	0.09710820262
793	0.09704240878
794	0.09694070072
795	0.09681611503
796	0.09672336445
797	0.0966342025
798	0.09655511186
799	0.0963771968
800	0.09632125148
801	0.09629290242
802	0.09617862628
803	0.09607377701
804	0.09596323743
805	0.09570734757
806	0.0956450685
807	0.09558748232
808	0.09539260791
809	0.09530351439
810	0.09526399875
811	0.09506442941
812	0.09497130789
813	0.09490594142
814	0.09488891549
815	0.09478987867
816	0.09470824002
817	0.09465980169
818	0.09460776021
819	0.09452808087
820	0.0944957864
821	0.09436572237
822	0.09425499027
823	0.0942337115
824	0.09415549798
825	0.09412673308
826	0.09407693769
827	0.09402014723
828	0.09394687676
829	0.09387747269
830	0.09375766859
831	0.09367100015
832	0.093537959
833	0.09346122239
834	0.09337042801
835	0.09323062928
836	0.09311838941
837	0.09303837708
838	0.09299775057
839	0.09297039903
840	0.09287074582
841	0.09282837805
842	0.09273708072
843	0.09262216831
844	0.09257739652
845	0.09251867874
846	0.0923706767
847	0.09220394485
848	0.09216952797
849	0.0921558687
850	0.0921103075
851	0.09205730865
852	0.09199502245
853	0.0918648673
854	0.09178200909
855	0.09164229616
856	0.09158854012
857	0.09146802445
858	0.09144619914
859	0.09131882032
860	0.09122457293
861	0.09110159169
862	0.09105593702
863	0.09101155899
864	0.09095374434
865	0.0909415234
866	0.09092036559
867	0.09086643427
868	0.09079902862
869	0.09075530293
870	0.09065641136
871	0.09058543061
872	0.09052435822
873	0.09047837861
874	0.09036943991
875	0.09031498451
876	0.0902747325
877	0.09023197066
878	0.09017817761
879	0.09013656381
880	0.09011502584
881	0.09003966096
882	0.08999687457
883	0.08998650294
884	0.08990712107
885	0.08985565304
886	0.08984803911
887	0.08982482711
888	0.08963274199
889	0.08957117979
890	0.08950410139
891	0.08938892734
892	0.08928222713
893	0.08923150469
894	0.08913828056
895	0.08904209566
896	0.08901196951
897	0.08890150767
898	0.08882450537
899	0.08880982027
900	0.08874983949
901	0.08873552691
902	0.0886797926
903	0.08857624338
904	0.08853355489
905	0.08849037999
906	0.08828899563
907	0.08816448664
908	0.08811075639
909	0.08797659837
910	0.08789236587
911	0.08788409375
912	0.08786058916
913	0.08779716361
914	0.08778542728
915	0.08773280462
916	0.08772072703
917	0.08764686782
918	0.08760290305
919	0.08752614862
920	0.08744467443
921	0.08740928343
922	0.08738905835
923	0.08730506111
924	0.08722014238
925	0.08713912728
926	0.08706802546
927	0.0870079438
928	0.08693173537
929	0.08686993918
930	0.08683186327
931	0.08675213155
932	0.08665963143
933	0.08658121272
934	0.08649556405
935	0.08647783101
936	0.08647107222
937	0.08643404596
938	0.08640574242
939	0.08637622001
940	0.0863513412
941	0.08617522443
942	0.08611515678
943	0.08607203246
944	0.08599642727
945	0.08598424624
946	0.08589180617
947	0.08585890728
948	0.08576684445
949	0.0856845897
950	0.08562030627
951	0.08557163981
952	0.08540714244
953	0.08535355868
954	0.08529617895
955	0.08526538307
956	0.08520241545
957	0.08510229608
958	0.08501422331
959	0.08497700664
960	0.08496189147
961	0.08488530846
962	0.0848176748
963	0.08475496066
964	0.0846665691
965	0.08463256546
966	0.08449223667
967	0.08448424676
968	0.08444930442
969	0.08441894757
970	0.0843356328
971	0.08425762521
972	0.08420553953
973	0.08420148497
974	0.08414086093
975	0.08406385445
976	0.08402759824
977	0.0840188093
978	0.08397421914
979	0.08396470914
980	0.08380960595
981	0.08374157935
982	0.08362421123
983	0.08355772742
984	0.0834960962
985	0.08346468691
986	0.08344075987
987	0.08333044562
988	0.08331420168
989	0.08324051197
990	0.08308534021
991	0.08302792625
992	0.08297547024
993	0.08288758084
994	0.08284170951
995	0.08273027611
996	0.0826578151
997	0.0825307363
998	0.08250795664
999	0.08240438671
